,ds,y
509,2011-05-25,194
510,2011-05-26,176
511,2011-05-27,164
512,2011-05-28,127
513,2011-05-29,105
514,2011-05-30,100
515,2011-05-31,154
516,2011-06-01,155
517,2011-06-02,193
518,2011-06-03,162
519,2011-06-04,132
520,2011-06-05,97
521,2011-06-06,94
522,2011-06-07,127
523,2011-06-08,140
524,2011-06-09,196
525,2011-06-10,162
526,2011-06-11,111
527,2011-06-12,83
528,2011-06-13,104
529,2011-06-14,148
530,2011-06-15,177
531,2011-06-16,201
532,2011-06-17,134
533,2011-06-18,92
534,2011-06-19,90
535,2011-06-20,97
536,2011-06-21,139
537,2011-06-22,186
538,2011-06-23,171
539,2011-06-24,145
540,2011-06-25,117
541,2011-06-26,103
542,2011-06-27,112
543,2011-06-28,141
544,2011-06-29,170
545,2011-06-30,187
546,2011-07-01,134
547,2011-07-02,138
548,2011-07-03,112
549,2011-07-04,114
550,2011-07-05,137
551,2011-07-06,161
552,2011-07-07,170
553,2011-07-08,160
554,2011-07-09,130
555,2011-07-10,103
556,2011-07-11,121
557,2011-07-12,166
558,2011-07-13,143
559,2011-07-14,194
560,2011-07-15,192
561,2011-07-16,139
562,2011-07-17,118
563,2011-07-18,135
564,2011-07-19,153
565,2011-07-20,175
566,2011-07-21,170
567,2011-07-22,147
568,2011-07-23,151
569,2011-07-24,114
570,2011-07-25,129
571,2011-07-26,162
572,2011-07-27,169
573,2011-07-28,177
574,2011-07-29,151
575,2011-07-30,141
576,2011-07-31,107
577,2011-08-01,127
578,2011-08-02,190
579,2011-08-03,189
580,2011-08-04,164
581,2011-08-05,155
582,2011-08-06,140
583,2011-08-07,130
584,2011-08-08,102
585,2011-08-09,133
586,2011-08-10,171
587,2011-08-11,197
588,2011-08-12,166
589,2011-08-13,126
590,2011-08-14,114
591,2011-08-15,110
592,2011-08-16,129
593,2011-08-17,175
594,2011-08-18,191
595,2011-08-19,159
596,2011-08-20,112
597,2011-08-21,131
598,2011-08-22,116
599,2011-08-23,148
600,2011-08-24,173
601,2011-08-25,149
602,2011-08-26,161
603,2011-08-27,120
604,2011-08-28,121
605,2011-08-29,126
606,2011-08-30,126
607,2011-08-31,140
608,2011-09-01,169
609,2011-09-02,151
610,2011-09-03,124
611,2011-09-04,121
612,2011-09-05,97
613,2011-09-06,133
614,2011-09-07,165
615,2011-09-08,163
616,2011-09-09,132
617,2011-09-10,104
618,2011-09-11,168
619,2011-09-12,149
620,2011-09-13,129
621,2011-09-14,138
622,2011-09-15,164
623,2011-09-16,186
624,2011-09-17,118
625,2011-09-18,138
626,2011-09-19,123
627,2011-09-20,153
628,2011-09-21,140
629,2011-09-22,166
630,2011-09-23,148
631,2011-09-24,117
632,2011-09-25,92
633,2011-09-26,102
634,2011-09-27,145
635,2011-09-28,197
636,2011-09-29,178
637,2011-09-30,166
638,2011-10-01,113
639,2011-10-02,78
640,2011-10-03,115
641,2011-10-04,156
642,2011-10-05,145
643,2011-10-06,158
644,2011-10-07,127
645,2011-10-08,115
646,2011-10-09,98
647,2011-10-10,112
648,2011-10-11,160
649,2011-10-12,211
650,2011-10-13,180
651,2011-10-14,156
652,2011-10-15,135
653,2011-10-16,107
654,2011-10-17,91
655,2011-10-18,142
656,2011-10-19,190
657,2011-10-20,161
658,2011-10-21,162
659,2011-10-22,132
660,2011-10-23,89
661,2011-10-24,88
662,2011-10-25,146
663,2011-10-26,146
664,2011-10-27,130
665,2011-10-28,169
666,2011-10-29,122
667,2011-10-30,112
668,2011-10-31,123
669,2011-11-01,153
670,2011-11-02,168
671,2011-11-03,150
672,2011-11-04,117
673,2011-11-05,101
674,2011-11-06,63
675,2011-11-07,97
676,2011-11-08,141
677,2011-11-09,164
678,2011-11-10,188
679,2011-11-11,162
680,2011-11-12,137
681,2011-11-13,123
682,2011-11-14,101
683,2011-11-15,145
684,2011-11-16,160
685,2011-11-17,131
686,2011-11-18,151
687,2011-11-19,117
688,2011-11-20,74
689,2011-11-21,128
690,2011-11-22,167
691,2011-11-23,132
692,2011-11-24,62
693,2011-11-25,92
694,2011-11-26,114
695,2011-11-27,109
696,2011-11-28,109
697,2011-11-29,110
698,2011-11-30,125
699,2011-12-01,131
700,2011-12-02,128
701,2011-12-03,86
702,2011-12-04,86
703,2011-12-05,105
704,2011-12-06,143
705,2011-12-07,188
706,2011-12-08,192
707,2011-12-09,132
708,2011-12-10,120
709,2011-12-11,96
710,2011-12-12,90
711,2011-12-13,131
712,2011-12-14,146
713,2011-12-15,145
714,2011-12-16,136
715,2011-12-17,123
716,2011-12-18,103
717,2011-12-19,98
718,2011-12-20,155
719,2011-12-21,154
720,2011-12-22,136
721,2011-12-23,112
722,2011-12-24,75
723,2011-12-25,77
724,2011-12-26,81
725,2011-12-27,95
726,2011-12-28,161
727,2011-12-29,151
728,2011-12-30,154
729,2011-12-31,138
730,2012-01-01,110
731,2012-01-02,119
732,2012-01-03,157
733,2012-01-04,191
734,2012-01-05,198
735,2012-01-06,177
736,2012-01-07,161
737,2012-01-08,107
738,2012-01-09,139
739,2012-01-10,150
740,2012-01-11,195
741,2012-01-12,199
742,2012-01-13,137
743,2012-01-14,142
744,2012-01-15,96
745,2012-01-16,117
746,2012-01-17,151
747,2012-01-18,160
748,2012-01-19,180
749,2012-01-20,161
750,2012-01-21,144
751,2012-01-22,96
752,2012-01-23,111
753,2012-01-24,141
754,2012-01-25,185
755,2012-01-26,204
756,2012-01-27,144
757,2012-01-28,128
758,2012-01-29,109
759,2012-01-30,126
760,2012-01-31,161
761,2012-02-01,191
762,2012-02-02,227
763,2012-02-03,190
764,2012-02-04,126
765,2012-02-05,91
766,2012-02-06,116
767,2012-02-07,172
768,2012-02-08,203
769,2012-02-09,199
770,2012-02-10,173
771,2012-02-11,190
772,2012-02-12,113
773,2012-02-13,106
774,2012-02-14,137
775,2012-02-15,138
776,2012-02-16,175
777,2012-02-17,147
778,2012-02-18,137
779,2012-02-19,108
780,2012-02-20,119
781,2012-02-21,143
782,2012-02-22,147
783,2012-02-23,171
784,2012-02-24,150
785,2012-02-25,102
786,2012-02-26,112
787,2012-02-27,137
788,2012-02-28,135
789,2012-02-29,180
790,2012-03-01,179
791,2012-03-02,163
792,2012-03-03,127
793,2012-03-04,120
794,2012-03-05,154
795,2012-03-06,174
796,2012-03-07,198
797,2012-03-08,177
798,2012-03-09,156
799,2012-03-10,119
800,2012-03-11,121
801,2012-03-12,126
802,2012-03-13,155
803,2012-03-14,175
804,2012-03-15,195
805,2012-03-16,144
806,2012-03-17,119
807,2012-03-18,111
808,2012-03-19,124
809,2012-03-20,154
810,2012-03-21,212
811,2012-03-22,160
812,2012-03-23,148
813,2012-03-24,140
814,2012-03-25,84
815,2012-03-26,126
816,2012-03-27,132
817,2012-03-28,212
818,2012-03-29,168
819,2012-03-30,170
820,2012-03-31,130
821,2012-04-01,90
822,2012-04-02,118
823,2012-04-03,158
824,2012-04-04,169
825,2012-04-05,196
826,2012-04-06,156
827,2012-04-07,120
828,2012-04-08,90
829,2012-04-09,119
830,2012-04-10,121
831,2012-04-11,167
832,2012-04-12,187
833,2012-04-13,136
834,2012-04-14,127
835,2012-04-15,103
836,2012-04-16,130
837,2012-04-17,165
838,2012-04-18,171
839,2012-04-19,157
840,2012-04-20,126
841,2012-04-21,80
842,2012-04-22,110
843,2012-04-23,119
844,2012-04-24,155
845,2012-04-25,176
846,2012-04-26,182
847,2012-04-27,160
848,2012-04-28,120
849,2012-04-29,116
850,2012-04-30,141
851,2012-05-01,160
852,2012-05-02,218
853,2012-05-03,193
854,2012-05-04,165
855,2012-05-05,108
856,2012-05-06,109
857,2012-05-07,139
858,2012-05-08,130
859,2012-05-09,188
860,2012-05-10,149
861,2012-05-11,126
862,2012-05-12,109
863,2012-05-13,79
864,2012-05-14,123
865,2012-05-15,147
866,2012-05-16,141
867,2012-05-17,142
868,2012-05-18,165
869,2012-05-19,99
870,2012-05-20,102
871,2012-05-21,133
872,2012-05-22,145
873,2012-05-23,152
874,2012-05-24,172
875,2012-05-25,142
876,2012-05-26,136
877,2012-05-27,124
878,2012-05-28,98
879,2012-05-29,137
880,2012-05-30,175
881,2012-05-31,166
882,2012-06-01,158
883,2012-06-02,127
884,2012-06-03,127
885,2012-06-04,117
886,2012-06-05,171
887,2012-06-06,147
888,2012-06-07,179
889,2012-06-08,136
890,2012-06-09,120
891,2012-06-10,96
892,2012-06-11,105
893,2012-06-12,149
894,2012-06-13,161
895,2012-06-14,130
896,2012-06-15,111
897,2012-06-16,111
898,2012-06-17,104
899,2012-06-18,113
900,2012-06-19,148
901,2012-06-20,197
902,2012-06-21,167
903,2012-06-22,144
904,2012-06-23,110
905,2012-06-24,108
906,2012-06-25,129
907,2012-06-26,129
908,2012-06-27,157
909,2012-06-28,165
910,2012-06-29,152
911,2012-06-30,130
912,2012-07-01,114
913,2012-07-02,100
914,2012-07-03,126
915,2012-07-04,159
916,2012-07-05,180
917,2012-07-06,151
918,2012-07-07,159
919,2012-07-08,88
920,2012-07-09,112
921,2012-07-10,151
922,2012-07-11,159
923,2012-07-12,172
924,2012-07-13,152
925,2012-07-14,109
926,2012-07-15,106
927,2012-07-16,114
928,2012-07-17,143
929,2012-07-18,186
930,2012-07-19,197
931,2012-07-20,172
932,2012-07-21,126
933,2012-07-22,124
934,2012-07-23,117
935,2012-07-24,139
936,2012-07-25,186
937,2012-07-26,193
938,2012-07-27,115
939,2012-07-28,123
940,2012-07-29,121
941,2012-07-30,97
942,2012-07-31,21
943,2012-08-01,174
944,2012-08-02,174
945,2012-08-03,150
946,2012-08-04,141
947,2012-08-05,125
948,2012-08-06,120
949,2012-08-07,152
950,2012-08-08,164
951,2012-08-09,161
952,2012-08-10,129
953,2012-08-11,129
954,2012-08-12,111
955,2012-08-13,110
956,2012-08-14,156
957,2012-08-15,168
958,2012-08-16,176
959,2012-08-17,144
960,2012-08-18,152
961,2012-08-19,106
962,2012-08-20,115
963,2012-08-21,132
964,2012-08-22,163
965,2012-08-23,194
966,2012-08-24,162
967,2012-08-25,130
968,2012-08-26,111
969,2012-08-27,104
970,2012-08-28,159
971,2012-08-29,164
972,2012-08-30,185
973,2012-08-31,156
974,2012-09-01,138
975,2012-09-02,118
976,2012-09-03,136
977,2012-09-04,146
978,2012-09-05,168
979,2012-09-06,144
980,2012-09-07,147
981,2012-09-08,98
982,2012-09-09,90
983,2012-09-10,92
984,2012-09-11,155
985,2012-09-12,202
986,2012-09-13,174
987,2012-09-14,158
988,2012-09-15,122
989,2012-09-16,101
990,2012-09-17,131
991,2012-09-18,149
992,2012-09-19,164
993,2012-09-20,137
994,2012-09-21,152
995,2012-09-22,119
996,2012-09-23,110
997,2012-09-24,118
998,2012-09-25,145
999,2012-09-26,131
1000,2012-09-27,156
1001,2012-09-28,149
1002,2012-09-29,132
1003,2012-09-30,128
1004,2012-10-01,135
1005,2012-10-02,143
1006,2012-10-03,153
1007,2012-10-04,143
1008,2012-10-05,137
1009,2012-10-06,90
1010,2012-10-07,105
1011,2012-10-08,103
1012,2012-10-09,118
1013,2012-10-10,154
1014,2012-10-11,142
1015,2012-10-12,179
1016,2012-10-13,158
1017,2012-10-14,98
1018,2012-10-15,101
1019,2012-10-16,128
1020,2012-10-17,159
1021,2012-10-18,140
1022,2012-10-19,163
1023,2012-10-20,121
1024,2012-10-21,111
1025,2012-10-22,131
1026,2012-10-23,115
1027,2012-10-24,155
1028,2012-10-25,144
1029,2012-10-26,148
1030,2012-10-27,105
1031,2012-10-28,111
1032,2012-10-29,120
1033,2012-10-30,151
1034,2012-10-31,105
1035,2012-11-01,140
1036,2012-11-02,137
1037,2012-11-03,126
1038,2012-11-04,104
1039,2012-11-05,109
1040,2012-11-06,180
1041,2012-11-07,192
1042,2012-11-08,166
1043,2012-11-09,131
1044,2012-11-10,118
1045,2012-11-11,110
1046,2012-11-12,100
1047,2012-11-13,125
1048,2012-11-14,140
1049,2012-11-15,148
1050,2012-11-16,126
1051,2012-11-17,125
1052,2012-11-18,94
1053,2012-11-19,122
1054,2012-11-20,124
1055,2012-11-21,110
1056,2012-11-22,68
1057,2012-11-23,105
1058,2012-11-24,115
1059,2012-11-25,114
1060,2012-11-26,114
1061,2012-11-27,152
1062,2012-11-28,129
1063,2012-11-29,132
1064,2012-11-30,120
1065,2012-12-01,113
1066,2012-12-02,89
1067,2012-12-03,100
1068,2012-12-04,126
1069,2012-12-05,164
1070,2012-12-06,148
1071,2012-12-07,121
1072,2012-12-08,105
1073,2012-12-09,105
1074,2012-12-10,101
1075,2012-12-11,144
1076,2012-12-12,175
1077,2012-12-13,142
1078,2012-12-14,116
1079,2012-12-15,103
1080,2012-12-16,113
1081,2012-12-17,136
1082,2012-12-18,130
1083,2012-12-19,159
1084,2012-12-20,142
1085,2012-12-21,106
1086,2012-12-22,106
1087,2012-12-23,103
1088,2012-12-24,69
1089,2012-12-25,69
1090,2012-12-26,118
1091,2012-12-27,136
1092,2012-12-28,149
1093,2012-12-29,121
1094,2012-12-30,77
1095,2012-12-31,128
1096,2013-01-01,128
1097,2013-01-02,171
1098,2013-01-03,167
1099,2013-01-04,147
1100,2013-01-05,123
1101,2013-01-06,104
1102,2013-01-07,122
1103,2013-01-08,153
1104,2013-01-09,171
1105,2013-01-10,165
1106,2013-01-11,124
1107,2013-01-12,104
1108,2013-01-13,108
1109,2013-01-14,106
1110,2013-01-15,142
1111,2013-01-16,151
1112,2013-01-17,186
1113,2013-01-18,140
1114,2013-01-19,116
1115,2013-01-20,96
1116,2013-01-21,125
1117,2013-01-22,135
1118,2013-01-23,161
1119,2013-01-24,159
1120,2013-01-25,137
1121,2013-01-26,111
1122,2013-01-27,111
1123,2013-01-28,125
1124,2013-01-29,137
1125,2013-01-30,182
1126,2013-01-31,183
1127,2013-02-01,149
1128,2013-02-02,141
1129,2013-02-03,104
1130,2013-02-04,123
1131,2013-02-05,132
1132,2013-02-06,161
1133,2013-02-07,80
1134,2013-02-08,62
1135,2013-02-09,50
1136,2013-02-10,52
1137,2013-02-11,75
1138,2013-02-12,104
1139,2013-02-13,173
1140,2013-02-14,140
1141,2013-02-15,119
1142,2013-02-16,139
1143,2013-02-17,119
1144,2013-02-18,129
1145,2013-02-19,125
1146,2013-02-20,133
1147,2013-02-21,149
1148,2013-02-22,119
1149,2013-02-23,111
1150,2013-02-24,96
